Branch,ParentItem2nd,CompItem2nd,CompBulk,CompGlobalBulk,CompItem2ndIM,CompBulkIM,CompBranch,TypeBOM,EffFrom,EffThru,Qty,QtyBatch,CompLineNum,RevLevel,UOM,IsCurrent,DWSource,CompIBSKey,ParentIBSKey
ORTC,U102,U101,U101,U101,U101,U101,ORTC,M,2008-06-23T00:00:00,2040-12-31T00:00:00,83.0,0.0,1.0,,LB,0,1,95686,95688
ORTC,U103,U101,U101,U101,U101,U101,ORTC,M,2008-06-23T00:00:00,2040-12-31T00:00:00,83.09,0.0,1.0,,LB,0,1,95686,95689
ORTC,U101-PL,U101,U101,U101,U101,U101,ORTC,M,2009-01-13T00:00:00,2040-12-31T00:00:00,4000.0,0.0,1.0,,LB,0,1,95686,95721
ORTC,U101-T2,U101,U101,U101,U101,U101,ORTC,M,2008-10-14T00:00:00,2040-12-31T00:00:00,220000.0,0.0,1.0,,LB,0,1,95686,95727
ORTC,U101-KP,U101,U101,U101,U101,U101,ORTC,M,2009-01-09T00:00:00,2040-12-31T00:00:00,44100.0,0.0,1.0,,LB,0,1,95686,95738
ORTC,U101,MPEG2000,MPEG2000,MPEG2000,MPEG2000,MPEG2000,ORTC,M,2019-03-26T00:00:00,2040-12-31T00:00:00,0.4754,0.0,0.0,,LB,0,1,95700,95686
ORTC,U501,MPEG2000,MPEG2000,MPEG2000,MPEG2000,MPEG2000,ORTC,M,2019-03-26T00:00:00,2040-12-31T00:00:00,0.343,0.0,0.0,,LB,0,1,95700,95690
ORTC,U601,MPEG2000,MPEG2000,MPEG2000,MPEG2000,MPEG2000,ORTC,M,2019-03-26T00:00:00,2040-12-31T00:00:00,1.1451,0.0,0.0,,LB,0,1,95700,95691
ORTC,U1001,MPEG2000,MPEG2000,MPEG2000,MPEG2000,MPEG2000,ORTC,M,2014-03-10T00:00:00,2040-12-31T00:00:00,2.1982,0.0,0.0,,LB,0,1,95700,95711
ORTC,U701,MPEG2000,MPEG2000,MPEG2000,MPEG2000,MPEG2000,ORTC,M,2019-03-26T00:00:00,2040-12-31T00:00:00,0.391,0.0,0.0,,LB,0,1,95700,95713
ORTC,U601PREP,MPEG2000,MPEG2000,MPEG2000,MPEG2000,MPEG2000,ORTC,M,2011-03-04T00:00:00,2040-12-31T00:00:00,4.17,0.0,0.0,,LB,0,1,95700,95756
ORTC,U480,MPEG2000,MPEG2000,MPEG2000,MPEG2000,MPEG2000,ORTC,M,2016-08-25T00:00:00,2040-12-31T00:00:00,0.3298,0.0,0.0,,LB,0,1,95700,95806
ORTC,U1092,MPEG2000,MPEG2000,MPEG2000,MPEG2000,MPEG2000,ORTC,M,2014-03-10T00:00:00,2040-12-31T00:00:00,0.5053,0.0,0.0,,LB,0,1,95700,95745
ORTC,U802,MPEG2000,MPEG2000,MPEG2000,MPEG2000,MPEG2000,ORTC,M,2020-04-30T00:00:00,2040-12-31T00:00:00,0.4746,0.0,0.0,,LB,0,1,95700,95787
